Flow_Type,Continent,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3
Exports,WORLD,296.58,331.55,342.56,373.53,423.89,484.64,367.61,400.06,438.78,541.1,653.85
Exports,AFRICA,78.04,63.63,84.58,79.09,87.93,72.31,74.37,72.91,73.95,72.57,84.52
Exports,AMERICA,4.19,4.46,5.72,9.75,2.58,3.08,6.02,9.6,4.07,5.49,6.67
Exports,ASIA,184.51,241.26,210.8,207.18,269.46,374.34,257.14,269.43,321.36,419.33,510.36
Exports,EUROPE,29.45,21.74,40.08,76.81,62.94,34.48,28.83,47.08,38.67,43.67,51.67
Exports,OCEANIA,0.4,0.47,1.38,0.71,0.97,0.44,1.26,1.04,0.74,0.04,0.62
Imports,WORLD,1128.32,1345.95,1544.82,1455.35,1466.6,1548.3,1572.09,1593.96,1768.85,1814.47,2144.23
Imports,AFRICA,349.31,454.72,514.08,404.25,511.06,584.26,533.51,554.64,593.76,675.57,899.76
Imports,AMERICA,32.95,54.26,26.17,31.62,31.38,24.31,36.62,60.63,69.37,66.27,63.11
Imports,ASIA,592.41,683.09,818.07,831.77,743.86,762.28,765.09,795.78,928.66,873.79,926.14
Imports,EUROPE,141.16,149.31,182.37,166.54,173.07,173.21,233.04,178.11,171.69,183.48,238.01
Imports,OCEANIA,12.5,4.58,4.13,21.16,7.24,4.23,3.83,4.8,5.36,15.36,17.21
Re-Exports,WORLD,150.66,161.74,200.3,154.39,156.23,164.23,172.99,159.55,170.89,164.0,184.59
Re-Exports,AFRICA,147.81,159.26,195.93,151.05,153.37,158.78,165.94,155.98,167.73,161.6,181.48
Re-Exports,AMERICA,0.6,0.49,0.31,0.42,0.2955156309,0.12,0.1,0.23,0.13,0.14,0.13
Re-Exports,ASIA,1.43,1.01,2.91,1.96,1.69,3.77,5.97,1.84,2.26,1.39,2.19
Re-Exports,EUROPE,0.82,0.97,1.15,0.94,0.88,1.56,0.98,1.49,0.77,0.85,0.79
Re-Exports,OCEANIA,0.0,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0
