COMMODITY ANALYSIS,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Products  re-exported by Rwanda in  2024, Quarter 3 (Values in US$ Million)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year and Period,, 2022Q1 , 2022Q2 , 2022Q3 , 2022Q4 , 2023Q1 , 2023Q2 , 2023Q3 , 2023Q4 , 2024Q1 , 2024Q2 , 2024Q3 ,Shares in % Q3,% change Q3/Q2,% change Q3/Q3
SITC SECTION,COMMODITY DESCRIPTION/ TOTAL ESTIMATES,150.66,161.74,200.30,154.39,156.23,164.23,172.99,159.55,170.89,164.00,184.59,100.00,12.55%,6.71%
0,Food and live animals,39.60,45.35,62.53,57.56,52.97,54.88,52.22,56.11,58.82,50.64,52.22,28.29,3.13%,0.00%
1,Beverages and tobacco,9.27,5.61,5.93,6.26,11.55,8.53,9.20,8.45,8.59,9.72,10.46,5.66,7.55%,13.59%
2,"Crude materials, inedible, except fuels ",5.48,5.48,7.54,4.77,4.41,14.24,5.19,4.50,3.50,4.11,4.95,2.68,20.53%,-4.50%
3,"Mineral fuels, lubricants and related materials",44.15,55.45,63.89,34.17,35.33,32.37,39.01,38.74,38.29,41.71,53.74,29.12,28.86%,37.76%
4,"Animals and vegetable oils, fats & waxes",16.12,12.84,17.02,14.25,15.61,13.64,17.03,15.76,12.20,14.47,8.99,4.87,-37.84%,-47.18%
5,"Chemicals & related products, n.e.s.",4.51,5.43,4.62,6.28,7.41,7.39,7.99,7.83,11.32,11.31,12.18,6.60,7.71%,52.36%
6,Manufactured goods classified chiefly by material,12.02,14.99,16.32,15.37,14.42,17.71,21.22,14.35,14.40,15.25,21.98,11.91,44.12%,3.61%
7,Machinery and transport equipment,14.23,10.68,15.28,9.70,8.78,9.09,11.86,7.86,13.61,8.62,10.25,5.55,18.96%,-13.57%
8,Miscellaneous manufactured articles,5.27,5.92,7.16,6.03,5.74,6.39,9.26,5.92,9.95,8.01,9.80,5.31,22.31%,5.91%
9,"Other commodities & transactions, n.e.s",0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%
Source: NISR,,,,,,,,,,,,,,,
