,,,Trade in Goods of Rwanda by Continents,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,VALUES IN US$,,,,,,,,,,,SHARE IN %,,,,,,,,,
Flow,Partner \ Period,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3
Exports,WORLD,296.58,331.55,342.56,373.53,423.89,484.64,367.61,400.06,438.78,541.10,653.85,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
,AFRICA,78.04,63.63,84.58,79.09,87.93,72.31,74.37,72.91,73.95,72.57,84.52,26.31,19.19,24.69,21.17,20.74,14.92,20.23,18.22,16.85,13.41,12.93
,AMERICA,4.19,4.46,5.72,9.75,2.58,3.08,6.02,9.60,4.07,5.49,6.67,1.41,1.34,1.67,2.61,0.61,0.63,1.64,2.40,0.93,1.01,1.02
,ASIA,184.51,241.26,210.80,207.18,269.46,374.34,257.14,269.43,321.36,419.33,510.36,62.21,72.77,61.54,55.46,63.57,77.24,69.95,67.35,73.24,77.50,78.06
,EUROPE,29.45,21.74,40.08,76.81,62.94,34.48,28.83,47.08,38.67,43.67,51.67,9.93,6.56,11.70,20.56,14.85,7.11,7.84,11.77,8.81,8.07,7.90
,OCEANIA,0.40,0.47,1.38,0.71,0.97,0.44,1.26,1.04,0.74,0.04,0.62,0.13,0.14,0.40,0.19,0.23,0.09,0.34,0.26,0.17,0.01,0.09
Imports,WORLD,1128.32,1345.95,1544.82,1455.35,1466.60,1548.30,1572.09,1593.96,1768.85,1814.47,2144.23,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
,AFRICA,349.31,454.72,514.08,404.25,511.06,584.26,533.51,554.64,593.76,675.57,899.76,30.96,33.78,33.28,27.78,34.85,37.74,33.94,34.80,33.57,37.23,41.96
,AMERICA,32.95,54.26,26.17,31.62,31.38,24.31,36.62,60.63,69.37,66.27,63.11,2.92,4.03,1.69,2.17,2.14,1.57,2.33,3.80,3.92,3.65,2.94
,ASIA,592.41,683.09,818.07,831.77,743.86,762.28,765.09,795.78,928.66,873.79,926.14,52.50,50.75,52.96,57.15,50.72,49.23,48.67,49.92,52.50,48.16,43.19
,EUROPE,141.16,149.31,182.37,166.54,173.07,173.21,233.04,178.11,171.69,183.48,238.01,12.51,11.09,11.81,11.44,11.80,11.19,14.82,11.17,9.71,10.11,11.10
,OCEANIA,12.50,4.58,4.13,21.16,7.24,4.23,3.83,4.80,5.36,15.36,17.21,1.11,0.34,0.27,1.45,0.49,0.27,0.24,0.30,0.30,0.85,0.80
Re-Exports,WORLD,150.66,161.74,200.30,154.39,156.23,164.23,172.99,159.55,170.89,164.00,184.59,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
,AFRICA,147.81,159.26,195.93,151.05,153.37,158.78,165.94,155.98,167.73,161.60,181.48,98.11,98.47,97.82,97.84,98.17,96.68,95.93,97.76,98.15,98.54,98.32
,AMERICA,0.60,0.49,0.31,0.42,0.2955156309,0.12,0.10,0.23,0.13,0.14,0.13,0.40,0.30,0.15,0.27,0.19,0.07,0.06,0.14,0.08,0.09,0.07
,ASIA,1.43,1.01,2.91,1.96,1.69,3.77,5.97,1.84,2.26,1.39,2.19,0.95,0.62,1.45,1.27,1.08,2.29,3.45,1.16,1.32,0.85,1.19
,EUROPE,0.82,0.97,1.15,0.94,0.88,1.56,0.98,1.49,0.77,0.85,0.79,0.55,0.60,0.57,0.61,0.56,0.95,0.57,0.93,0.45,0.52,0.43
,OCEANIA,0.00,0.01,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00
Source: NISR,,,,,,,,,,,,,,,,,,,,,,,
