Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Rwanda,Afghanistan,2022,Exports & Imports,2,4,0.09,0.11,147.77,149.77,2.01,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Angola,2022,Exports & Imports,1,3,0.04,0.08,-761.37,2.01,763.38,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Anguila,2022,Exports & Imports,,1,,0.03,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Albania,2022,Exports & Imports,,99,,2.7,,,460.51,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Andorra,2022,Exports & Imports,,21,,0.57,,,15.15,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,United Arab Emirates,2022,Exports & Imports,109,2221,4.76,60.58,171244.6,590298.7,419054.1,8.18,29.23,16.09,13.55,1529,71.22,27.6,0.39,0.78,533.67,0,8604.53,90466.99,40863.3,16.09,13.55,1529,71.22,27.6,0.39,0.78,533.67,0,8604.53,90466.99,40863.3,
Rwanda,Argentina,2022,Exports & Imports,,31,,0.85,,,22711.56,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,American Samoa,2022,Exports & Imports,,3,,0.08,,,9.63,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Australia,2022,Exports & Imports,17,185,0.74,5.05,-25642.22,1115.47,26757.69,0.52,0.06,12.84,1.32,52,63.46,36.54,0,0,35,0,0,3365.99,22174.3,12.84,1.32,52,63.46,36.54,0,0,35,0,0,3365.99,22174.3,
Rwanda,Austria,2022,Exports & Imports,1,130,0.04,3.55,-1719.48,615.5,2334.99,0.05,0.03,11.81,9.38,213,58.69,41.31,0,0,35,0,0,1101.76,2096.59,11.81,9.38,213,58.69,41.31,0,0,35,0,0,1101.76,2096.59,
Rwanda,Azerbaijan,2022,Exports & Imports,1,6,0.04,0.16,680.28,703.45,23.18,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Burundi,2022,Exports & Imports,101,92,4.41,2.51,3733.9,3879.43,145.53,0,0.19,0,0,105,0,100,0,0,0,0,0,935.13,386.7,22.63,17.01,105,73.33,19.05,4.76,2.86,533.67,0,130.29,1317.24,4.59,1
Rwanda,Belgium,2022,Exports & Imports,125,1402,5.46,38.24,-111566.81,14267.45,125834.26,2.46,0.71,16.03,17.32,1117,64.1,34.38,0.81,0.72,533.67,0,2619.39,29603.03,23814.66,16.03,17.32,1117,64.1,34.38,0.81,0.72,533.67,0,2619.39,29603.03,23814.66,
Rwanda,Benin,2022,Exports & Imports,14,14,0.61,0.38,-4.02,9.75,13.77,0,0,17.5,14.93,6,66.67,33.33,0,0,25,0,0,13.33,1.29,17.5,14.93,6,66.67,33.33,0,0,25,0,0,13.33,1.29,
Rwanda,Burkina Faso,2022,Exports & Imports,2,2,0.09,0.05,-35732.15,692.82,36424.97,0.71,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Bangladesh,2022,Exports & Imports,11,50,0.48,1.36,-532.96,24.18,557.14,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Bulgaria,2022,Exports & Imports,1,70,0.04,1.91,-4374.27,4.38,4378.66,0.09,0,3.91,0.23,18,16.67,77.78,5.56,0,25,0,16.24,52.74,3321.87,3.91,0.23,18,16.67,77.78,5.56,0,25,0,16.24,52.74,3321.87,
Rwanda,Bahrain,2022,Exports & Imports,,17,,0.46,,,21806.5,0.43,,25,25,2,100,0,0,0,25,25,0,8.58,0,25,25,2,100,0,0,0,25,25,0,8.58,0,
Rwanda,Bosnia and Herzegovina,2022,Exports & Imports,,39,,1.06,,,167.95,0,,10.91,16.01,11,45.45,54.55,0,0,35,0,0,156.08,88.28,10.91,16.01,11,45.45,54.55,0,0,35,0,0,156.08,88.28,
Rwanda,Saint Barthélemy,2022,Exports & Imports,,4,,0.11,,,1.73,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Belarus,2022,Exports & Imports,,6,,0.16,,,24.86,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Belize,2022,Exports & Imports,1,2,0.04,0.05,-226.79,0.1,226.89,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Bolivia,2022,Exports & Imports,12,1,0.52,0.03,8.54,8.55,0.02,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Brazil,2022,Exports & Imports,,140,,3.82,,,9886.9,0.19,,12.45,18.02,92,59.78,40.22,0,0,35,0,0,1188.47,777.75,12.45,18.02,92,59.78,40.22,0,0,35,0,0,1188.47,777.75,
Rwanda,Barbados,2022,Exports & Imports,,2,,0.05,,,55.61,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Brunei,2022,Exports & Imports,,6,,0.16,,,147.93,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Botswana,2022,Exports & Imports,,22,,0.6,,,16.32,0,,25.68,22.99,32,87.5,12.5,0,0,35,0,0,6.99,0.73,25.68,22.99,32,87.5,12.5,0,0,35,0,0,6.99,0.73,
Rwanda,Central African Republic,2022,Exports & Imports,50,6,2.18,0.16,597.79,598.69,0.9,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Canada,2022,Exports & Imports,30,561,1.31,15.3,-2788.94,3280.7,6069.64,0.12,0.16,12.9,21.04,77,37.66,53.25,5.19,3.9,533.67,0,818.75,1149.02,1820.9,12.9,21.04,77,37.66,53.25,5.19,3.9,533.67,0,818.75,1149.02,1820.9,
Rwanda,Cocos (Keeling) Islands,2022,Exports & Imports,,5,,0.14,,,2.23,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Switzerland,2022,Exports & Imports,8,627,0.35,17.1,-37168.07,16980.2,54148.27,1.06,0.84,8.72,1.65,203,53.2,45.81,0.49,0.49,35,0,42.1,401.29,3412.99,8.72,1.65,203,53.2,45.81,0.49,0.49,35,0,42.1,401.29,3412.99,
Rwanda,Chile,2022,Exports & Imports,,9,,0.25,,,298.51,0.01,,35,35,1,100,0,0,0,35,35,0,333.27,0,35,35,1,100,0,0,0,35,35,0,333.27,0,
Rwanda,China,2022,Exports & Imports,28,2922,1.22,79.71,-981211.95,96759.31,1077971.26,21.04,4.79,13.35,20.32,1671,64.03,35.25,0.12,0.6,533.67,0,302.52,239221.16,119070.59,13.35,20.32,1671,64.03,35.25,0.12,0.6,533.67,0,302.52,239221.16,119070.59,
Rwanda,Cote d'Ivoire,2022,Exports & Imports,5,42,0.22,1.15,-346.55,25.8,372.35,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Cameroon,2022,Exports & Imports,8,23,0.35,0.63,-6678.76,65.96,6744.73,0.13,0,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,"Congo, Rep.",2022,Exports & Imports,22,6,0.96,0.16,19818.08,19883.22,65.14,0,0.98,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Cook Islands,2022,Exports & Imports,,2,,0.05,,,9.67,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Colombia,2022,Exports & Imports,16,18,0.7,0.49,-285.36,15.13,300.49,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Comoros,2022,Exports & Imports,,8,,0.22,,,30.86,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Cape Verde,2022,Exports & Imports,,2,,0.05,,,5.95,0,,,,,,,,,,,,,,,,,,,,,,,,,,
