Country,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,Share_Percent_Q3,Change_Q3_Q2_Percent,Change_Q3_Q3_Percent
United Arab Emirates,139.09,188.38,163.99,92.47,211.51,321.94,202.73,215.07,268.66,360.35,446.51,68.29,23.91,120.24
"Congo, The Democratic Republic Of",35.45,35.82,40.62,43.36,44.32,38.12,44.04,47.04,50.97,47.47,62.13,9.5,30.88,41.08
China,4.16,6.2,7.95,17.8,21.69,19.76,23.41,19.1,17.64,23.25,22.68,3.47,-2.46,-3.13
Luxembourg,4.73,2.26,2.3,1.2,2.11,3.62,2.38,8.01,12.07,15.48,13.77,2.11,-11.05,477.7
United Kingdom,8.33,7.73,15.61,17.55,15.86,8.56,5.37,7.95,9.15,8.4,9.06,1.39,7.81,68.83
Hong Kong,6.45,11.63,10.61,10.72,10.6,13.17,10.44,9.85,5.53,4.73,8.53,1.3,80.42,-18.32
Netherlands,4.23,1.02,3.59,6.76,8.81,3.75,2.77,3.31,4.06,4.92,6.99,1.07,42.15,151.96
United States,3.46,4.0,5.32,7.56,2.12,2.45,5.47,8.78,3.22,5.42,6.51,1.0,20.08,18.96
Thailand,0.76,0.02,0.15,0.64,0.04,0.36,0.85,0.36,1.94,2.45,6.37,0.97,160.45,651.82
Pakistan,11.5,10.72,8.72,7.2,9.82,4.55,6.42,5.27,7.76,8.11,5.89,0.9,-27.37,-8.29
Singapore,9.65,10.8,8.08,4.33,1.67,1.31,2.54,2.79,2.21,4.5,5.42,0.83,20.44,113.33
Germany,2.88,2.11,1.98,5.45,5.29,2.43,3.11,3.49,1.61,1.57,5.36,0.82,240.21,72.42
Belgium,3.07,1.43,5.4,7.23,3.98,4.07,2.19,2.22,1.95,1.49,4.72,0.72,217.92,115.23
Uganda,3.14,5.07,8.09,2.94,12.24,9.34,8.84,3.94,1.39,1.8,4.2,0.64,133.99,-52.47
Ethiopia,0.0,1.91,12.84,11.24,0.0,1.58,0.04,0.0,0.01,1.24,3.31,0.51,166.14,7974.36
Congo,3.15,4.31,6.09,6.17,6.78,7.03,5.66,5.88,5.52,5.41,3.21,0.49,-40.72,-43.3
Burundi,0.02,1.0,0.7,1.41,2.27,3.72,5.18,5.75,3.42,2.18,3.03,0.46,38.54,-41.61
India,2.83,2.74,3.82,61.65,4.13,3.68,2.49,3.84,5.12,6.17,2.78,0.42,-55.04,11.27
Sweden,0.0,0.54,0.02,3.99,4.0,0.01,0.42,2.08,0.08,2.67,2.45,0.37,-8.36,476.29
Egypt,5.29,4.0,2.84,2.8,4.08,3.1,1.72,3.24,2.93,4.33,2.37,0.36,-45.22,37.91
