Region,Year,Export_Value_Millions,Partner Name
Africa,2018,457.26,43
Africa,2019,511.72,39
Africa,2020,488.43,39
Africa,2021,797.25,39
Africa,2022,924.79,42
Americas,2018,25.88,3
Americas,2019,13.56,7
Americas,2020,24.09,2
Americas,2021,32.35,4
Americas,2022,27.04,6
Asia & Middle East,2018,292.58,35
Asia & Middle East,2019,465.44,37
Asia & Middle East,2020,823.44,33
Asia & Middle East,2021,587.19,38
Asia & Middle East,2022,913.8,32
Europe & Central Asia,2018,226.93,28
Europe & Central Asia,2019,139.91,26
Europe & Central Asia,2020,93.0,24
Europe & Central Asia,2021,144.07,24
Europe & Central Asia,2022,151.09,25
Oceania,2018,1.42,2
Oceania,2019,1.3,2
Oceania,2020,1.91,2
Oceania,2021,1.55,2
Oceania,2022,1.68,2
Other/Regional Grouping,2018,1995.75,11
Other/Regional Grouping,2019,2258.84,9
Other/Regional Grouping,2020,2856.88,9
Other/Regional Grouping,2021,3120.51,10
Other/Regional Grouping,2022,4032.31,10
