Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,Export Share in Total Products (%),Export (US$ Thousand),Export Partner Share (%),Transaction_ID,Export_Value_USD,Export_Value_Millions,Region,YoY_Growth_Rate,YoY_Growth_Absolute
Rwanda,Afghanistan,2018,Export,1.0,0.05,441.58,0.04,RW-AFG-2018,441580.0,0.44158,Asia & Middle East,,
Rwanda,Afghanistan,2019,Export,1.0,0.04,676.5,0.06,RW-AFG-2019,676500.0,0.6765,Asia & Middle East,53.19987318266226,234.92000000000002
Rwanda,Afghanistan,2020,Export,1.0,0.05,190.98,0.01,RW-AFG-2020,190980.0,0.19097999999999998,Asia & Middle East,-71.76940133037695,-485.52
Rwanda,Afghanistan,2021,Export,1.0,0.04,399.04,0.03,RW-AFG-2021,399040.0,0.39904,Asia & Middle East,108.94334485286419,208.06000000000003
Rwanda,Afghanistan,2022,Export,2.0,0.09,149.77,0.01,RW-AFG-2022,149770.0,0.14977000000000001,Asia & Middle East,-62.467421812349635,-249.27
Rwanda,Algeria,2018,Export,1.0,0.05,0.1,0.0,RW-ALG-2018,100.0,0.0001,Africa,,
Rwanda,Algeria,2022,Export,15.0,0.66,8.21,0.0,RW-ALG-2022,8210.0,0.00821,Africa,8110.000000000001,8.110000000000001
Rwanda,Angola,2018,Export,3.0,0.15,7.13,0.0,RW-ANG-2018,7130.0,0.00713,Africa,,
Rwanda,Angola,2019,Export,2.0,0.09,3.18,0.0,RW-ANG-2019,3180.0,0.00318,Africa,-55.39971949509116,-3.9499999999999997
Rwanda,Angola,2021,Export,6.0,0.27,144.98,0.01,RW-ANG-2021,144980.0,0.14498,Africa,4459.1194968553455,141.79999999999998
Rwanda,Angola,2022,Export,1.0,0.04,2.01,0.0,RW-ANG-2022,2009.9999999999998,0.0020099999999999996,Africa,-98.61360187612085,-142.97
Rwanda,Argentina,2021,Export,1.0,0.04,2491.01,0.16,RW-ARG-2021,2491010.0,2.49101,Americas,,
Rwanda,Armenia,2018,Export,1.0,0.05,0.05,0.0,RW-ARM-2018,50.0,5e-05,Asia & Middle East,,
Rwanda,Australia,2018,Export,6.0,0.29,267.23,0.03,RW-AUS-2018,267230.0,0.26723,Oceania,,
Rwanda,Australia,2019,Export,7.0,0.31,456.23,0.04,RW-AUS-2019,456230.0,0.45623,Oceania,70.725592186506,189.0
