Partner Name,Avg_Growth_Rate,Growth_Volatility,Years_of_Data,First_Year_Value,Last_Year_Value
Afghanistan,6.98,88.61,4,0.68,0.15
Angola,1435.04,2619.02,3,0.0,0.0
Australia,46.97,39.61,4,0.46,1.12
Austria,6294.35,12538.43,4,1.52,0.62
Azerbaijan,151.48,289.41,4,0.29,0.7
Bangladesh,663.61,1341.33,4,0.1,0.02
Belgium,-12.31,25.09,4,16.57,14.27
Benin,79.19,214.98,4,0.05,0.01
Botswana,103.12,262.09,3,0.0,0.01
Bulgaria,72.17,171.94,4,0.17,0.0
Burkina Faso,1151.24,1751.45,4,0.07,0.69
Burundi,249.59,535.88,4,38.17,3.88
Cambodia,-31.91,63.74,3,0.04,0.0
Cameroon,235.9,293.57,4,0.0,0.07
Canada,105.7,155.46,4,0.38,3.28
Central African Republic,399.85,566.23,4,0.0,0.6
Chad,290.11,462.57,4,0.01,0.01
China,135.85,244.01,4,6.65,96.76
Colombia,741.55,1062.18,2,0.0,0.02
"Congo, Dem. Rep.",24.08,20.33,4,372.8,768.27
"Congo, Rep.",953.79,1097.55,4,2.81,19.88
Cote d'Ivoire,102.36,173.05,4,0.04,0.03
Czech Republic,-18.46,50.6,3,0.24,0.07
Denmark,-32.96,73.97,4,0.04,0.0
Djibouti,4394.14,6353.14,2,0.0,0.03
East Asia & Pacific,25.09,80.67,4,64.79,194.68
"Egypt, Arab Rep.",37.06,20.3,4,6.47,15.41
Eritrea,1241.01,2093.98,4,0.49,0.02
Eswatini,221.73,604.11,4,0.05,0.0
Ethiopia(excludes Eritrea),240.76,357.06,4,9.75,36.53
Europe & Central Asia,-6.79,20.2,4,149.7,164.64
Finland,793.48,900.77,3,1.15,3.75
France,47.8,73.92,4,3.42,4.82
Gabon,6.13,64.53,4,0.01,0.01
Georgia,-62.47,0.57,2,0.0,0.0
Germany,38.39,111.46,4,4.03,13.55
Ghana,153.42,203.18,4,0.67,1.96
Greece,894.62,271.9,3,0.01,0.91
Guinea,213.58,509.6,4,0.03,0.0
"Hong Kong, China",32.54,85.93,4,7.98,39.45
Hungary,-4.29,121.44,3,0.04,0.01
India,145.8,255.42,4,6.79,71.18
